Classifier,nTrackPoints,MinBoundCircleRadius_m,MBCCminusCoM,entropy,trackLength_m,tortuosity,wEV1,EV1angle
Mobile,8,7.5441023110772e-07,0.0811524229983719,0.811278124459133,3.90135596264238e-06,47.8788925001794,0.481756990799606,49.7170505511193
Mobile,5,5.53827467718963e-07,0.321234498478387,0.811278124459133,2.44763404089012e-06,2.20974417445486,0.719126915907394,132.046154264187
Mobile,6,4.57389378101417e-07,0.328320484314915,0.811278124459133,1.28450797118584e-06,1.45750157521769,0.735028101014478,108.250126766155
Mobile,6,4.41487753850546e-07,0.260696969750554,0.811278124459133,1.48083513242533e-06,1.7568733685825,0.937699213432111,34.2410174542955
Mobile,7,2.87665049667144e-07,0.0829099218336322,0.811278124459133,7.46204914641621e-07,1.4924912140631,0.979312676208485,126.514523947711
Mobile,9,4.24385339848558e-07,0.433001284352129,0.811278124459133,2.91102081170874e-06,10.3475920259535,0.446419122761181,162.559133459772
Mobile,9,1.11656588950227e-06,0.106917832836003,0.811278124459133,3.66717677394938e-06,2.48748032598106,0.8509830552555,137.546335877254
Mobile,7,6.28159999999999e-07,0.0438233668810303,0.811278124459133,2.36679688893371e-06,6.05721197472473,0.904851128838039,122.085562660322
Mobile,7,3.52483021102639e-07,0.180089649356671,0.811278124459133,2.26654714290014e-06,5.24022891039107,0.241806198962611,82.9872834341862
Mobile,6,4.95641573720366e-07,0.239374062631555,0.811278124459133,2.10213741009157e-06,3.9837564806725,0.753398130728551,106.307750009447
Mobile,6,2.87798329390563e-07,0.200577903971383,0.811278124459133,1.33758853811011e-06,2.87254607768751,0.451337583469474,173.254608228962
Mobile,6,7.05877133784625e-07,0.157731780785231,0.811278124459133,2.00333663325557e-06,1.50796777678894,0.8982382905711,12.3102902435287
Mobile,6,8.43946538591161e-07,0.429649603960183,0.811278124459133,2.66429729059959e-06,1.59045208847019,0.938060887184545,26.8248825193375
Mobile,8,5.54014592926767e-07,0.32461845732629,0.811278124459133,2.49963923489594e-06,2.26413553807777,0.581873630624793,70.0283064611872
Mobile,5,7.33197167479528e-07,0.180659207970292,0.811278124459133,1.78304093257732e-06,1.21593550252436,0.891524291511985,169.714017809192
Mobile,8,7.59490186901712e-07,0.0293367443615797,0.811278124459133,3.08722660993238e-06,12.9482947282785,0.937923445741875,163.669143330534
Mobile,5,1.93312879919477e-07,0.368464107658593,0.811278124459133,6.78573200394266e-07,2.0843380579173,0.672039924772713,50.3242874002195
Mobile,6,4.04953773164296e-07,0.112409261482144,0.811278124459133,1.34934713581335e-06,4.40696696641592,0.977503907816081,146.386162489654
Mobile,5,3.99981183557426e-07,0.336057291660319,0.811278124459133,9.88096070229367e-07,1.2351781919355,0.795394414521077,132.519579977163
Mobile,7,6.70412219459043e-07,0.406023177520287,0.811278124459133,1.90272698176355e-06,1.53343824282106,0.761507682539082,21.5004202338546
Mobile,5,7.03739078920589e-07,0.193985163701821,0.811278124459133,1.7344331607413e-06,1.26536709866038,0.884886458799464,89.8804535435643
Mobile,7,7.16603687403295e-07,0.189569085237557,0.811278124459133,2.39904408609296e-06,1.80696387624211,0.791455804352549,26.9200792928524
Mobile,5,7.41742191330653e-07,0.257245754640223,0.811278124459133,2.25822881984839e-06,2.20623900170534,0.889912026059537,21.7366715519718
Mobile,5,4.92172275529615e-07,0.0562984298767462,0.811278124459133,2.05845146705189e-06,3.56943731155344,0.600248968240717,29.8831683797478
Mobile,5,3.50052264883389e-07,0.157009546806237,0.811278124459133,1.11485378388704e-06,1.64182329094516,0.84489429949513,122.459907433866
Mobile,8,1.14275042244578e-06,0.18500057655867,0.811278124459133,2.97112023753855e-06,1.29998649713014,0.966509691962197,167.263357991142
Mobile,11,1.25953967464308e-06,0.110358758170758,0.811278124459133,3.74865649357779e-06,1.54805971431436,0.946880831530737,178.633120915955
Mobile,6,4.27280419141009e-07,0.350824324202941,0.811278124459133,1.81422808864464e-06,2.39464127084806,0.476906326861391,126.331096351684
Mobile,6,3.15207805855153e-07,0.355095700592326,0.811278124459133,1.08858663058273e-06,1.80360038522803,0.556569922799881,98.9486549963694
Mobile,8,2.812698064137e-07,0.137135047832164,0.811278124459133,1.57438651355726e-06,6.02919713194665,0.805549993076945,157.19608951459
Mobile,6,6.68616242698307e-07,0.0736709585870877,0.811278124459133,2.31725716273949e-06,4.18672866038277,0.823211232196622,61.270611200513
Mobile,7,5.98359014639205e-07,0.204561901210515,0.811278124459133,2.42249886244393e-06,3.64597352569596,0.477742396678488,150.668845946253
Mobile,9,6.8205453389007e-07,0.0744202271488205,0.811278124459133,2.60404930653095e-06,3.45601944457063,0.833451594973928,157.589549320119
Mobile,8,6.70726412183088e-07,0.111499638743037,0.811278124459133,2.70732551267892e-06,2.01820404229132,0.615940382249907,65.4341941592921
